Property_id,Offer,URL,Property_type,Price,Include_w_e,Title,Area,Governorate,Beds,Baths,Size,Availability_date,Agent_name,Agency,Amenities
2095,Buy,https://www.propertyfinder.bh/en/plp/buy/land-for-sale-southern-governorate-askar-945764.html,Land,"BHD138,928",Exclusive,Residential Land for Sale in Asker,Askar,Southern Governorate,0,0,"6,458 sqft / 600 sqm",18 Aug 2025,Mahmood Al-Shaikh,Majestic Properties,
2096,Buy,https://www.propertyfinder.bh/en/plp/buy/land-for-sale-northern-governorate-sadad-945763.html,Land,"BHD94,706",Exclusive,عقارات بوابة الجنبية تطرح جديدها المخطط الحصري,Sadad,Northern Governorate,0,0,"3,638 sqft / 338 sqm",18 Aug 2025,Mahmood Mohamed,Al Janabiya Gate Real Estate,
2097,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-essence-of-dilmunia-945754.html,Apartment,"BHD58,000",Exclusive,"Luxury and comfort, prime location, modern design,","Essence of Dilmunia, Dilmunia Island",Muharraq Governorate,1,2,926 sqft / 86 sqm,18 Aug 2025,Abdulrahman Mohammed,M2 SQUARE METER,6
2098,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-amwaj-avenue-945753.html,Apartment,"BHD72,000",Exclusive,Spacious Apartment | Comfort and Modern Living,"Amwaj Avenue, Amwaj Islands",Muharraq Governorate,2,3,"1,399 sqft / 130 sqm",18 Aug 2025,Siwar Arfaoui,Agate Real Estate,15
2099,Buy,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-northern-governorate-saar-945750.html,Villa,"BHD580,000",Exclusive,luxury villa for sale in the prestigious saar,Saar,Northern Governorate,5+ Maid,7,"9,795 sqft / 910 sqm",18 Aug 2025,Salah Hashem,ASK Real Estate,7
2100,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-945734.html,Apartment,"BHD59,000",Exclusive,BHK For Sale In Amwaj Island,Amwaj Islands,Muharraq Governorate,2,2,"1,227 sqft / 114 sqm",18 Aug 2025,Hussain Al Mesbah,Effects Services,3
2101,Buy,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-central-governorate-tubli-945726.html,Villa,"BHD300,000",Exclusive,Luxury Villa for Sale In Tubli,Tubli,Central Governorate,5+ Maid,6,"4,370 sqft / 406 sqm",18 Aug 2025,Riyad  Al Mubarak,Effects Services,5
2102,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-breeze-of-dilmunia-945722.html,Apartment,"BHD72,000",Exclusive,Payment Plan | Easy Installments | Spacious,"Breeze of Dilmunia, Dilmunia Island",Muharraq Governorate,1,1,"1,012 sqft / 94 sqm",17 Aug 2025,Ahmed Alabassi,Vincci Property Management,16
2103,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-breeze-of-dilmunia-945721.html,Apartment,"BHD102,000",Exclusive,Payment Plan | Easy Installments | 3 Years,"Breeze of Dilmunia, Dilmunia Island",Muharraq Governorate,2+ Maid,3,"1,475 sqft / 137 sqm",17 Aug 2025,Ahmed Alabassi,Vincci Property Management,17
2104,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-breeze-of-dilmunia-945720.html,Apartment,"BHD129,000",Exclusive,Payment Plan|Easy Installments|Ready Title Deed,"Breeze of Dilmunia, Dilmunia Island",Muharraq Governorate,3,4,"1,647 sqft / 153 sqm",17 Aug 2025,Ahmed Alabassi,Vincci Property Management,16
2105,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-reef-island-945718.html,Apartment,"BHD215,000",Exclusive,Prime Investment | Generous Layout | Exclusive,Reef Island,Capital Governorate,3+ Maid,5,"2,583 sqft / 240 sqm",18 Aug 2025,Majeed Moosa,River West Properties,12
2106,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-al-juffair-945716.html,Apartment,"BHD99,500",Exclusive,Modern| City + Partial Sea View |Great Investment,Al Juffair,Capital Governorate,3,4,"1,615 sqft / 150 sqm",18 Aug 2025,Siwar Arfaoui,Agate Real Estate,16
2107,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-hanging-garden-945701.html,Apartment,"BHD117,000",Exclusive,Brand New | Water Park | Spectacular Sea View,"Hanging Garden, Dilmunia Island",Muharraq Governorate,3+ Maid,5,"2,153 sqft / 200 sqm",18 Aug 2025,Christian Brunet,River West Properties,15
2108,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-bahrain-bay-945681.html,Apartment,"BHD68,000",Exclusive,Bahrain bay-1BR / 2BR |Sea &amp; City View |for sale,Bahrain Bay,Capital Governorate,1,2,560 sqft / 52 sqm,17 Aug 2025,Rupal Dhakan,Americana Real Estate W.L.L,15
2109,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-bahrain-bay-945680.html,Apartment,"BHD68,000",Exclusive,"Bahrainbay- sea view 1br/studio for sale 68,000BD",Bahrain Bay,Capital Governorate,1,1,506 sqft / 47 sqm,17 Aug 2025,Rupal Dhakan,Americana Real Estate W.L.L,15
2110,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-bahrain-bay-945679.html,Apartment,"BHD94,000",Exclusive,Bahrain bay-Full seaview UNfurnished 1br apartmen,Bahrain Bay,Capital Governorate,1,2,861 sqft / 80 sqm,1 Jul 2025,Rupal Dhakan,Americana Real Estate W.L.L,15
